Decada,70s,80s,90s,2000s,2010s,2020s
Albacete,42,188,233,157,65,6
Alicante/Alacant,674,1271,717,376,95,10
Almería,106,331,343,267,121,18
Araba/Álava,127,262,132,42,6,..
Asturias,1602,1321,511,186,38,..
Ávila,77,195,111,67,15,..
Badajoz,107,442,421,244,93,12
Balears,282,561,352,148,29,..
Barcelona,1711,3430,2242,739,117,5
Bizkaia,685,880,414,142,17,..
Burgos,251,416,219,135,35,..
Cáceres,154,416,254,129,31,..
Cádiz,771,1553,915,417,105,12
Cantabria,743,738,313,154,30,..
Castellón/Castelló,274,445,230,149,30,..
Ciudad Real,54,222,294,238,82,6
Córdoba,89,280,418,277,96,6
Coruña,1223,1397,565,164,37,..
Cuenca,40,150,126,75,30,..
Gipuzkoa,304,278,138,53,6,..
Girona,100,202,153,55,7,..
Granada,384,811,665,288,112,8
Guadalajara,48,156,141,109,30,..
Huelva,126,318,269,170,51,..
Huesca,141,204,84,41,11,..
Jaén,54,233,350,237,94,8
León,352,788,274,121,35,..
Lleida,65,179,81,30,12,..
Lugo,200,397,160,72,16,..
Madrid,4490,7086,4864,2871,678,48
Málaga,866,1504,890,406,136,15
Murcia,156,468,552,594,253,37
Navarra,375,504,309,159,23,..
Ourense,328,423,103,37,7,..
Palencia,83,229,102,34,11,..
Palmas,327,524,545,282,59,..
Pontevedra,1604,1241,502,133,18,6
Rioja,103,284,187,101,28,..
Salamanca,144,425,224,98,21,..
Santa Cruz de Tenerife,313,688,606,186,35,5
Segovia,105,152,81,44,8,..
Sevilla,889,1489,1207,609,199,19
Soria,26,85,58,29,6,..
Tarragona,156,346,192,98,17,..
Teruel,21,56,68,32,13,..
Toledo,187,551,399,256,71,..
Valencia/València,1177,2193,1313,635,132,14
Valladolid,424,739,339,228,34,..
Zamora,98,219,98,45,11,..
Zaragoza,590,1050,624,354,77,..
Ceuta,26,84,47,11,6,..
Melilla,25,62,41,19,..,..
Nacido en el extranjero,1795,1313,618,155,52,..